XP_022313813.1	GO:0005975,GO:0016853,GO:0044281
XP_022325412.1	GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022325411.1	GO:0005737,GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022322286.1	GO:0006399,GO:0006412,GO:0006520,GO:0016874,GO:0043167
XP_022333351.1	GO:0005975,GO:0016779,GO:0034641,GO:0044281
XP_022333349.1	GO:0005975,GO:0016779,GO:0034641,GO:0044281
XP_022333350.1	GO:0005975,GO:0016779,GO:0034641,GO:0044281
XP_022341653.1	GO:0009058,GO:0016829,GO:0034641,GO:0044281,GO:0051186
XP_022341656.1	GO:0009058,GO:0016829,GO:0034641,GO:0044281,GO:0051186
XP_022341654.1	GO:0009058,GO:0016829,GO:0034641,GO:0044281,GO:0051186
XP_022313045.1	GO:0009058,GO:0016829,GO:0034641,GO:0051186
XP_022317856.1	GO:0009058,GO:0016829,GO:0034641,GO:0051186
XP_022300054.1	GO:0006520,GO:0016829,GO:0034641
XP_022301550.1	GO:0006520,GO:0016829,GO:0034641
XP_022287225.1	GO:0005737,GO:0009058,GO:0016757,GO:0034655,GO:0044281
XP_022320303.1	GO:0005737,GO:0009058,GO:0016757,GO:0034655,GO:0044281
XP_022330284.1	GO:0005975,GO:0009056,GO:0016779,GO:0034641,GO:0043167,GO:0044281
XP_022330188.1	GO:0005975,GO:0009056,GO:0016779,GO:0034641,GO:0043167,GO:0044281
XP_022330190.1	GO:0005975,GO:0009056,GO:0016779,GO:0034641,GO:0043167,GO:0044281
XP_022323182.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323184.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323183.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323179.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323181.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323180.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323294.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323295.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323296.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323297.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323298.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022323299.1	GO:0005975,GO:0016491,GO:0034641,GO:0044281
XP_022319880.1	GO:0005975,GO:0016853,GO:0034641,GO:0044281
XP_022319879.1	GO:0005975,GO:0016853,GO:0034641,GO:0044281
XP_022335712.1	GO:0006464,GO:0008233
XP_022323402.1	GO:0006464,GO:0008233,GO:0009056,GO:0043167
XP_022298587.1	GO:0006464,GO:0008233
XP_022308633.1	GO:0006464,GO:0008233
XP_022289951.1	GO:0006464,GO:0008233
XP_022331966.1	GO:0006464,GO:0008233
XP_022315418.1	GO:0006464,GO:0008233
XP_022314146.1	GO:0006464,GO:0008233
XP_022315419.1	GO:0006464,GO:0008233
XP_022314147.1	GO:0006464,GO:0008233
XP_022315424.1	GO:0006464,GO:0008233
XP_022315423.1	GO:0006464,GO:0008233
XP_022315407.1	GO:0006464,GO:0008233,GO:0009056
